/Volumes/MONKEY USB/IMG/center_2022_05_07_15_38_16_740.jpg, /Volumes/MONKEY USB/IMG/left_2022_05_07_15_38_16_740.jpg, /Volumes/MONKEY USB/IMG/right_2022_05_07_15_38_16_740.jpg, -0.3825481, 1, 0, 30.15714
/Volumes/MONKEY USB/IMG/center_2022_05_07_15_38_16_843.jpg, /Volumes/MONKEY USB/IMG/left_2022_05_07_15_38_16_843.jpg, /Volumes/MONKEY USB/IMG/right_2022_05_07_15_38_16_843.jpg, -0.2859778, 1, 0, 30.18665
/Volumes/MONKEY USB/IMG/center_2022_05_07_15_38_16_947.jpg, /Volumes/MONKEY USB/IMG/left_2022_05_07_15_38_16_947.jpg, /Volumes/MONKEY USB/IMG/right_2022_05_07_15_38_16_947.jpg, 0, 1, 0, 30.18728
/Volumes/MONKEY USB/IMG/center_2022_05_07_15_38_17_047.jpg, /Volumes/MONKEY USB/IMG/left_2022_05_07_15_38_17_047.jpg, /Volumes/MONKEY USB/IMG/right_2022_05_07_15_38_17_047.jpg, 0, 1, 0, 30.18973
/Volumes/MONKEY USB/IMG/center_2022_05_07_15_38_17_151.jpg, /Volumes/MONKEY USB/IMG/left_2022_05_07_15_38_17_151.jpg, /Volumes/MONKEY USB/IMG/right_2022_05_07_15_38_17_151.jpg, 0, 1, 0, 30.19011
/Volumes/MONKEY USB/IMG/center_2022_05_07_15_38_17_252.jpg, /Volumes/MONKEY USB/IMG/left_2022_05_07_15_38_17_252.jpg, /Volumes/MONKEY USB/IMG/right_2022_05_07_15_38_17_252.jpg, 0, 1, 0, 30.19031
/Volumes/MONKEY USB/IMG/center_2022_05_07_15_38_17_360.jpg, /Volumes/MONKEY USB/IMG/left_2022_05_07_15_38_17_360.jpg, /Volumes/MONKEY USB/IMG/right_2022_05_07_15_38_17_360.jpg, 0, 1, 0, 30.19007
/Volumes/MONKEY USB/IMG/center_2022_05_07_15_38_17_463.jpg, /Volumes/MONKEY USB/IMG/left_2022_05_07_15_38_17_463.jpg, /Volumes/MONKEY USB/IMG/right_2022_05_07_15_38_17_463.jpg, 0, 1, 0, 30.19029
/Volumes/MONKEY USB/IMG/center_2022_05_07_15_38_17_565.jpg, /Volumes/MONKEY USB/IMG/left_2022_05_07_15_38_17_565.jpg, /Volumes/MONKEY USB/IMG/right_2022_05_07_15_38_17_565.jpg, 0, 1, 0, 30.19028
/Volumes/MONKEY USB/IMG/center_2022_05_07_15_38_17_670.jpg, /Volumes/MONKEY USB/IMG/left_2022_05_07_15_38_17_670.jpg, /Volumes/MONKEY USB/IMG/right_2022_05_07_15_38_17_670.jpg, 0, 1, 0, 30.19027
/Volumes/MONKEY USB/IMG/center_2022_05_07_15_38_17_774.jpg, /Volumes/MONKEY USB/IMG/left_2022_05_07_15_38_17_774.jpg, /Volumes/MONKEY USB/IMG/right_2022_05_07_15_38_17_774.jpg, 0, 1, 0, 30.19028
